Metric,NVDA,TSLA,JPM,XOM,KO
Media,0.0016834915,0.0001179198,0.0007494834,0.0007621526,0.0004080008
Deviazione_standard,0.0340628522,0.0392638833,0.0156181128,0.0166619902,0.0102704675
Asimmetria,0.2379688829,0.0542684322,-0.0081754964,-0.3261830004,-0.3519163745
Curtosi,6.6063774693,5.2800078074,8.3084937773,4.8518929993,7.2681643129
Minimo,-0.1859460755,-0.1675456621,-0.0772916144,-0.0821352503,-0.0721685274
Massimo,0.2180878589,0.2044905379,0.1092536729,0.0621413999,0.0461678755
VaR_5,0.0540901306,0.0638979850,0.0237988539,0.0267513467,0.0154029254
TCE_5,0.0735403063,0.0884429524,0.0375482062,0.0388162645,0.0228594945
K_VaR_caso_1,0.0049422573,0.0052553716,0.0051290589,0.0051265251,0.0051973554
K_TCE_caso_1,0.0068480241,0.0071611385,0.0070348257,0.0070322919,0.0071031223
K_VaR_%_caso_1,19.2676326826,20.4883243549,19.9958879676,19.9860096833,20.2621453116
K_TCE_%_caso_1,19.4660046335,20.3560548603,19.9970017692,19.9897991566,20.1911395804
K_VaR_caso_2,0.0101911178,0.0126831605,0.0025387170,0.0010725804,-0.0008350073
K_TCE_caso_2,0.0120968847,0.0145889273,0.0044444838,0.0029783472,0.0010707595
K_VaR_%_caso_2,39.7305731816,49.4459237438,9.8973127194,4.1815073719,-3.2553170167
K_TCE_%_caso_2,34.3862709426,41.4700826597,12.6337671425,8.4661677714,3.0437114838
K_VaR_caso_3,0.0093898860,0.0123704152,0.0021914660,0.0024450776,-0.0007462764
K_TCE_caso_3,0.0112956528,0.0142761820,0.0040972328,0.0043508445,0.0011594904
K_VaR_%_caso_3,36.6069314574,48.2266709329,8.5435375869,9.5322551333,-2.9093951105
K_TCE_%_caso_3,32.1087113523,40.5810815586,11.6466809757,12.3675905193,3.2959355941
